icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timeStamp
a2cfa2,SKW3607 ,United States,1583040579.0,1583040579,-121.4851,45.2609,7094.22,False,199.89,165.39,-4.88,,6827.52,4614,False,0,20200301T1629
780d79,CES2773 ,China,,1583040561,,,,False,181.49,239.51,0.0,,,,False,0,20200301T1629
78144b,RLH6583 ,China,1583040579.0,1583040579,117.8852,24.5705,10393.68,False,176.74,228.42,0.0,,10881.36,5004,False,0,20200301T1629
780d73,CQH6300 ,China,1583040579.0,1583040579,101.0064,16.7549,10668.0,False,242.73,7.31,0.0,,11353.8,0737,False,0,20200301T1629
8832af,TLM315  ,Thailand,1583040281.0,1583040294,100.6252,13.9492,137.16,False,73.0,209.09,-4.55,,121.92,3625,False,0,20200301T1629
8832ac,,Thailand,1583040555.0,1583040579,100.3276,12.5055,9753.6,False,233.56,0.0,0.0,,10401.3,,False,0,20200301T1629
a39fb1,UAL779  ,United States,1583040579.0,1583040580,-122.3437,37.6079,60.96,False,63.28,297.61,-2.93,,68.58,4133,False,0,20200301T1629
4b984f,BAV216  ,Turkey,1583040513.0,1583040550,105.6398,20.6038,4274.82,False,134.79,359.34,-0.98,,4503.42,0002,False,0,20200301T1629
76cd7a,SIA322  ,Singapore,1583040520.0,1583040520,-0.4405,51.4688,,True,4.12,0.0,,,,0601,False,0,20200301T1629
89409b,GFA249  ,Bahrain,1583040579.0,1583040579,50.4532,26.3893,609.6,False,91.16,159.52,0.0,,601.98,4714,False,0,20200301T1629
3c0a44,SXD3LG  ,Germany,1583040578.0,1583040579,19.2615,45.9745,9974.58,False,197.36,301.25,6.83,,9906.0,4550,False,0,20200301T1629
3c0a45,DLH23U  ,Germany,1583040579.0,1583040579,-0.4642,39.6512,3299.46,False,186.85,52.72,13.98,,3291.84,5564,False,0,20200301T1629
780d85,CCA1846 ,China,,1583040579,,,,False,190.35,43.14,11.38,,,,False,0,20200301T1629
76cd90,SLK350  ,Singapore,1583040578.0,1583040578,104.0085,1.3869,716.28,False,99.17,22.57,8.45,,701.04,2217,False,0,20200301T1629
76cd91,SLK613  ,Singapore,1583040580.0,1583040580,104.1116,1.5839,2750.82,False,174.32,171.34,-7.8,,2926.08,1610,False,0,20200301T1629
4852f6,KLM36L  ,Kingdom of the Netherlands,1583040579.0,1583040579,5.0717,50.3654,6705.6,False,183.13,319.33,0.0,,6400.8,3506,False,0,20200301T1629
c010a8,ACA185  ,Canada,1583040436.0,1583040439,-123.0867,49.1922,243.84,False,69.44,279.81,-3.58,,297.18,2224,False,0,20200301T1629
748017,MEA209  ,Lebanon,1583040563.0,1583040575,2.5728,48.9939,228.6,True,8.23,286.88,,,,1000,False,0,20200301T1629
75031a,MAS1436 ,Malaysia,1583040579.0,1583040579,101.0963,3.5038,7277.1,False,231.04,318.43,11.38,,7734.3,0353,False,0,20200301T1629
76cd8d,SIA181  ,Singapore,1583040537.0,1583040538,105.327,1.172,6659.88,False,211.95,270.0,-9.75,,7109.46,2010,False,0,20200301T1629
a4f179,MSQT714 ,United States,1583040579.0,1583040579,-111.9732,33.4018,1371.6,False,59.17,1.0,0.33,,1348.74,0332,False,0,20200301T1629
3c0a58,SXD1D   ,Germany,1583040579.0,1583040579,14.7716,48.6087,10668.0,False,243.01,131.82,0.0,,10507.98,4135,False,0,20200301T1629
780d8e,EPA6206 ,China,1583040579.0,1583040579,113.5705,22.7367,2026.92,False,120.43,19.98,-8.78,,2118.36,1512,False,0,20200301T1629
42441c,NWS172  ,United Kingdom,1583040579.0,1583040579,48.9947,53.0514,10363.2,False,215.24,308.6,-0.33,,9944.1,2063,False,0,20200301T1629
7c77fe,QFA704  ,Australia,1583040551.0,1583040577,145.5181,-16.9464,1988.82,False,172.9,358.64,-3.25,,2133.6,1275,False,0,20200301T1629
7c77fb,QFA58   ,Australia,1583040579.0,1583040579,151.5177,-24.8826,11887.2,False,222.33,181.59,-0.33,,12519.66,7450,False,0,20200301T1629
86ebb6,ANA847  ,Japan,1583040579.0,1583040579,121.1365,21.9804,12192.0,False,205.13,259.45,0.0,,12893.04,3221,False,0,20200301T1629
780d9c,CES207  ,China,1583040536.0,1583040539,132.7812,35.3268,9448.8,False,302.91,60.61,0.0,,9601.2,6051,False,0,20200301T1629
894092,MEN004  ,Bahrain,1583040303.0,1583040303,56.4024,25.2458,7345.68,False,234.4,110.42,6.5,,7665.72,0524,False,0,20200301T1629
894091,ASM003  ,Bahrain,1583040294.0,1583040303,55.3719,25.2577,-7.62,False,0.0,0.0,0.0,,-266.7,0603,False,0,20200301T1629
89408f,GFA007  ,Bahrain,1583040579.0,1583040580,5.4475,50.8941,11582.4,False,231.1,291.14,-0.33,,11247.12,3242,False,0,20200301T1629
89408c,GFA785  ,Bahrain,1583040579.0,1583040579,53.3354,25.4778,10965.18,False,200.66,283.04,0.65,,11506.2,4035,False,0,20200301T1629
424440,AFL2500 ,United Kingdom,1583040579.0,1583040579,22.1216,54.8512,9753.6,False,205.63,255.51,-0.33,,9441.18,6272,False,0,20200301T1629
a33327,AAL2611 ,United States,1583040579.0,1583040579,-98.449,40.3061,9144.0,False,224.59,253.23,0.0,,9113.52,6574,False,0,20200301T1629
750304,MXD1501 ,Malaysia,1583040579.0,1583040579,101.0946,4.3785,5181.6,False,130.79,158.78,-0.33,,5494.02,2656,False,0,20200301T1629
89906e,EVA130  ,Taiwan,1583040577.0,1583040578,123.2774,26.1656,9334.5,False,280.79,52.67,3.25,,9707.88,6247,False,0,20200301T1629
ab7b8c,UAL653  ,United States,1583040579.0,1583040579,-96.5452,40.6273,10972.8,False,210.92,269.72,0.33,,10927.08,2450,False,0,20200301T1629
c0669e,WJA2419 ,Canada,1583040578.0,1583040579,-107.5813,52.0908,2727.96,False,151.5,257.05,21.46,,2468.88,,True,0,20200301T1629
899088,EVA061  ,Taiwan,1583040579.0,1583040579,25.4579,45.0238,11574.78,False,223.59,300.1,0.33,,11521.44,2356,False,0,20200301T1629
040188,ETH726  ,Ethiopia,1583040579.0,1583040579,6.5599,46.4632,2697.48,False,117.86,321.38,-5.2,,2667.0,1000,False,0,20200301T1629
847884,JJP623  ,Japan,1583040577.0,1583040579,138.5886,35.1349,10378.44,False,176.78,266.5,0.0,,10523.22,2454,False,0,20200301T1629
